TEXT,POSITIVE,NEGATIVE,NEUTRAL
sebagai bentuk protes atas isu yang terjadi di piala dunia hummel selaku sponsor apparel dari timnas denmark membuat logo apparel dan logo negara menjadi satu warna alias sengaja tidak terlihat gimana menurut lo,0.007472205441445112,0.009729458019137383,0.9827983975410461
gimana kalau denmark gausah ikut pildun sekalian,0.0004313703393563628,0.9943779110908508,0.005190705880522728
tp jadi keren,0.9977779984474182,0.001543075661174953,0.0006789420149289072
menurut gw ini adalah alasan krn mereka juga ga mungkin nge redesign jersey denmark yg udah terlanjur diproduksi masal lalu bikin pembelaan dg mengkambing hitamkan kontroversi pialadunia qatar,0.012723312713205814,0.8119633793830872,0.1753132939338684
gimana kek kepo beud lu,0.00040715711656957865,0.9992232322692871,0.0003696142230182886
ga kebayang proses approvalnya,0.0002960002748295665,0.9992140531539917,0.0004899441846646369
hypocrisy at its best,0.9982038736343384,0.0012804294237866998,0.0005157149862498045
standar ganda ngomongin human rights cuih,0.00030193995917215943,0.9992558360099792,0.0004421972844284028
ini inti dari masalahnya bisa dijelaskan pake bahasa indo aja ga,0.0005326666869223118,0.9960578680038452,0.0034095318987965584
the away jersey is even better,0.8904054164886475,0.006415269803255796,0.10317930579185486
fifa kok ya nunjuk qatar jdi tuan rumah bnyk yg protes kan jdi nya bnyk larangan jga,0.0008622347959317267,0.9895631670951843,0.009574582800269127
red out version ceritanyaa sama sprti black out gt y,0.0008058019448071718,0.022270677611231804,0.9769235253334045
pesan yang bagus nyawa dan keselamatan tidak sebanding dengan acara besar apapun,0.969816267490387,0.027464674785733223,0.0027191010303795338
eropa sipaling tersakiti,0.0006118097808212042,0.9915866851806641,0.007801563944667578
world cup tp pada keberatan main di timteng standar ganda,0.0018295049667358398,0.23913055658340454,0.7590399384498596
kalo mau protes keras ya seharusnya ga ikut serta dalam piala dunia,0.003532115835696459,0.9872941374778748,0.00917369406670332
kalau nike gamungkin bikin yg model gini ya sepertinya hehehe,0.03168626129627228,0.020837411284446716,0.9474762678146362
but they still play,0.009740281850099564,0.4601794183254242,0.530080258846283
etapi tapi hummel juga jadi bagian dari tim qatar yang pentolannya terlibat dalam pildun,0.008143354207277298,0.06616026908159256,0.9256963133811951
udah komen tadi malem di akunnya hummel,0.0004854564322158694,0.0029293789993971586,0.9965851306915283
negara eropa si paling humanis,0.997760534286499,0.0007733944221399724,0.0014660934684798121
we dont wish to be visible halahh kalo beneran tinggal buat logo apparelnya kayak italia jaman nike aja samasekali gak muncul di jersi pi gitu juga sama emblem federasi,0.0008191412780433893,0.9971625208854675,0.0020182905718684196
sok sokan,0.01516043208539486,0.9710772633552551,0.013762305490672588
sampah munafik mudah an aja denmark jdi tim pertama yang tersingkir dan kalah dibantai ama lawan nya biar mempercepat utk ga lebih lama berpartisipasi,0.00036024139262735844,0.9990596175193787,0.0005802075611427426
menurut gua sih bagus apalagi klu menang beh selesai itu qatar,0.9915242195129395,0.0047273291274905205,0.0037484734784811735
knp sih gara qatar melarang lgbt selama piala dunia hypocrite kalo benar memperjuangkan human rights sekalian dukung palestina,0.5057234168052673,0.45410147309303284,0.04017513617873192
semua protes ini percuma toh pildun tetap akan berjalan begitu peluit dimulai semua akan meriah tragedi pekerja di qatar akan terlupakan begitu saja,0.0003583208890631795,0.998674750328064,0.0009669825667515397
ga memengaruhi estetika bagus aja bisa dicontoh negara lain,0.27332842350006104,0.6999121308326721,0.026759423315525055
gue lebih setuju kl semua negara eropa boikot wc drpd standar ganda,0.0005848026485182345,0.9984363913536072,0.0009788329480215907
ternyata red out ada alasannya,0.000668104796204716,0.9906854033470154,0.008646425791084766
oh italia protes juga kali ya,0.0005055029760114849,0.9988798499107361,0.0006146561936475337
jadi bahan pembicaraan aja adalah tujuanya kontras pun kalo di tengah lapangan juga gak bakal kebaca cuman keliahatan beda warna aja jdi bikin yg sama warna tp jd bahan perbincangan di mana mana strategi marketing yg ciamik,0.9511920213699341,0.04085608944296837,0.007951906882226467
kami protes tapi,0.00555954547598958,0.9876170754432678,0.006823385134339333
kalo mau protes sekalian aja nggak ikut wcnya dong,0.003306083846837282,0.9736289381980896,0.023064952343702316
wow jadi bagus keliatan banget desain nya niat niat untuk motif ekonomi dengan membonceng isunya,0.980376124382019,0.016647662967443466,0.0029761972837150097
tinggal mundur aja lo denmark taik timnas ampas kaga jelas biar itali yg gantiin,0.00030376456561498344,0.9989809393882751,0.0007152740727178752
pildun di selenggarain di midd season aja udah aneh,0.00013895063602831215,0.9992541670799255,0.0006068633520044386
ngerasa paling suci aja nih negara eropa cuih,0.6270818710327148,0.33440741896629333,0.0385107658803463
idc about the message such a terrible jersey,0.0020351717248559,0.01563584990799427,0.9823289513587952
bs kalo mo protes gk usah ikut sekalian ketauan gimmick branding marketing doang ini mah,0.0004045911191496998,0.9989227652549744,0.0006725654820911586
iya sekarang protes kalo ntar juara ngerayainya hari malam,0.0003519348974805325,0.998694121837616,0.000953923910856247
gimmick,0.0019591127056628466,0.9970377683639526,0.0010031020501628518
sudah seharusnya para pelaku olahraga khususnya sepakbola melakukan hal seperti ini dimana issue atau pun tuduhan thdp qatar ini blm ada buktinya paling tidak ada sedikit gesture untuk meminta investigasi krn masalah ini cukup mengganggu dan tidak menjunjung equality,0.0035067747812718153,0.9939203262329102,0.0025729252956807613
eropa itu dobel standarnya apa mayoritad mereka pernah bersuara ketika ada konflik kemanusiaan di afghanistan palestina yaman uyghur dll,0.002316575963050127,0.5559801459312439,0.44170325994491577
protes tu kayak italia noh total,0.00024175166618078947,0.9993411898612976,0.00041701248846948147
waktu piala dunia di afrika kok negara eropa gak memprotes perbudakan ya eh lupa kan yang memperbudak orang orang afrika itu negara eropa,0.00036411089240573347,0.9979313611984253,0.0017045852728188038
klo ga suka ga usah ikut aja,0.18873493373394012,0.6544956564903259,0.15676942467689514
useless movement,0.6378211379051208,0.09888938069343567,0.2632894217967987
undur diri saja,0.0022982927039265633,0.9921256899833679,0.00557607552036643
g ngaruh sama warna kaos yg di blur gini pdahal ini ajang yg bawa nama negara prestige juga udah seharusnya kostum team ditampilkan dengan gagah,0.4732162654399872,0.4273923337459564,0.0993913933634758
jerseynya keren sih,0.9992684721946716,0.00039306070539169014,0.00033838191302493215
eropa kntl liat noh isrlkntl ngebunuh anak palestin lu diem aja babi kesel gua,0.0002667589869815856,0.9995015859603882,0.00023162373690865934
naon atun kehed,0.0007604171405546367,0.9984810948371887,0.0007585252169519663
tar juga pas match menang pada selebrasi protes tuh nanti selama pildun menang tanpa selebrasi walaupun jd juara nya,0.004154106602072716,0.9859573841094971,0.00988858100026846
mundur aja dari worlp cup skuat iwan bule siap ganti,0.0005182130262255669,0.0029757434967905283,0.9965060949325562
jersey jadi keset,0.43361857533454895,0.24939541518688202,0.31698599457740784
kenapa semangatnya ga sama ke palestine,0.0006786052836105227,0.998416543006897,0.0009048010688275099
fafifu sih wkwkwkwk kalau emang ngga mau keliatan yaaa cut off sekalian aja lah ini mah nyari simpati tapi diem ngambil cuannnya juga wkwkwkwkwk,0.00048475174116902053,0.9980772733688354,0.0014379301574081182
